Project,Client,Description,Task,Email,Tags,Billable,Start Date,Start Time,Duration (hh:mm:ss)
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 2OG Volumenstrom Anpassung und Testlauf Meeting-Raum,,ydh-embedded@posteo.de,TH3,Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 2OG Touch-Panel zurück gesetzt,,ydh-embedded@posteo.de,"TH3,4",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 5OG EnOcean Antennen montiert und FK PtP :: Thermokon ::,,ydh-embedded@posteo.de,"TH1,2",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 5OG AdHoc Heizzone aktiviert,,ydh-embedded@posteo.de,"TH1,2",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, OGs Referenz-Messung mit Sachverständigen && Doku,,ydh-embedded@posteo.de,"TH1,2,3,4",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, OG1 DALI Störbeseitigung,,ydh-embedded@posteo.de,"TH1,2",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, OGs Fehlerfeststellung EnOcean CO²-Sensorik :: Thermokon ::,,ydh-embedded@posteo.de,"TH1,2,3,4",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG EnOcean Fehlerbeseitigung :: Thermokon ::,,ydh-embedded@posteo.de,TH1,Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 2OG EnOcean Fehlerbeseitigung :: Thermokon ::,,ydh-embedded@posteo.de,TH4,Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, OGs Erstellung Scrum Commits EnOcean,,ydh-embedded@posteo.de,"TH1,2,3,4",Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, UG1 forto Fehlerbeseitigung Raumtemp.-Sensoren,,ydh-embedded@posteo.de,TH4,Yes,,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, OG1 DALI Störbeseitigung,,ydh-embedded@posteo.de,"TH1,2",Yes,,08:00,00:00:00
