Project,Client,Description,Task,Email,Tags,Billable,Start Date,Start Time,Duration (hh:mm:ss)
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG SMI Jalo Fehlerbehebung & Schaltschrank revision,,ydh-embedded@posteo.de,TH3&4,Yes,24.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG SMI Jalo Fehlerbehebung & Schaltschrank revision,,ydh-embedded@posteo.de,TH2&1,Yes,24.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 3OG SMI Jalo Fehlerbehebung WebVisu Testing,,ydh-embedded@posteo.de,TH1,Yes,24.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 5OG M-Bus Feedback WebVisu,,ydh-embedded@posteo.de,TH1,Yes,24.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG VSR Umbau auf MP-Bus → Schaltschrank Rev.,,ydh-embedded@posteo.de,TH1&2 ,Yes,25.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG VSR Umbau auf MP-Bus → Schaltschrank Rev.,,ydh-embedded@posteo.de,TH1&2 ,Yes,25.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG VSR MP-Kalibrierung & LogData Dokumentation V-nom,,ydh-embedded@posteo.de,TH1&2 ,Yes,25.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG Testfahrt reparierter Jalo,,ydh-embedded@posteo.de,TH2,Yes,25.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG Fehlersuche Jalousie → Testlauf ,,ydh-embedded@posteo.de,TH1,Yes,25.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG VSR MP-Kalibrierung & Dokumentation V-nom,,ydh-embedded@posteo.de,TH1 ,Yes,26.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG VSR Umbau auf MP-Bus → Schaltschrank Rev.,,ydh-embedded@posteo.de,TH1 ,Yes,26.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG Schaltschrankrückbau & und revision,,ydh-embedded@posteo.de,TH2,Yes,26.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG Fehlersuche EnOcean ,,ydh-embedded@posteo.de,TH2,Yes,26.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG MP-BUS Fehlersuche & Adressierung & Dokumentation,,ydh-embedded@posteo.de,TH1&2 ,Yes,26.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 4OG MP-Bus Heiz-Ventile Zuordnung und dokumentation,,ydh-embedded@posteo.de,TH3&4,Yes,27.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 3OG VSR Umbau auf MP-Bus → Schaltschrank Rev.,,ydh-embedded@posteo.de,TH3&4,Yes,27.02.2025,08:00,00:00:00
NEO - Schönhauser Allee 9,      yDh-embedded Inh. Danny Heinicke, 3OG VSR MP-Kalibrierung & Dokumentation V-nom,,ydh-embedded@posteo.de,TH3&4,Yes,27.02.2025,08:00,00:00:00
